id,var-origin,var-lh,label
62,c014,c014-usr,Qual é a natureza dessa união? 
63,c015,c015-usr,Esta união é registrada em cartório? 
64,c016,c016-usr,Foi realizada cerimônia religiosa para esta união? 
65,c017,c017-usr,___já viveu com cônjuge ou companheiro (a) antes? 
66,c018,c018-usr,Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?  
67,c01801,c01801-usr,Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?   
68,d001,d001-usr-ler,Sabe ler e escrever
69,d00201,d00201-usr-esc,Frequenta escola ou creche
70,d00202,d00202-usr-esc,A escola que frequenta é da
71,d00301,d00301-usr,Qual é o curso que frequenta
72,d00501,d00501-usr-curso,Esse curso que ___ frequenta é dividido em
73,d006,d006-usr,Qual é o ano/semestre/série que ___frequenta?
74,d00601,d00601-,Qual é a etapa do ensino fundamental que ___ frequenta
75,d007,d007-usr,"___faz uso de algum medicamento, que foi receitado por um médico, para uso regular ou contínuo (Diário)"
76,d008,d008-usr-frequentou,Anteriormente ___frequentou escola ou creche
77,d00901,d00901-usr,Qual foi o curso mais elevado que ___frequentou 
78,d010,d010-usr-duração,A duração deste curso que ___frequentou anteriormente era de
79,d01101,d01101-usr-curso,Este curso que ___ frequentou anteriormente era dividido em
80,d01201,d01201-usr-com,"concluiu, com aprovação, pelo menos o primeiro ano/semestre/série deste curso que frequentou "
81,d01301,d01301-usr,"Qual foi o último ano/semestre/série que ___ concluiu, com aprovação, neste curso que frequentou "
82,d01302,d01302-usr,Qual foi a etapa de ensino fundamental que ___frequentou
83,d01303,d01303-usr,___concluiu os anos iniciais deste curso que frequentou 
84,d014,d014-usr,___concluiu este curso que frequentou 
85,d015,d015-usr,Informante do Módulo D
86,e001,e001-trab,"Na semana de___ a___ (semana de referência), ___ trabalhou ou estagiou, durante pelo menos uma hora, em alguma atividade remunerada em dinheiro"
87,e002,e002-trab,"Na semana de ___a___ (semana de referência), ___ trabalhou ou estagiou, durante pelo menos uma hora, em alguma atividade remunerada em produtos, mercadorias, moradia, alimentação, treinamento ou aprendizado etc"
88,e003,e003-trab,"Na semana de ___ a ___ (semana de referência), ___ fez algum bico ou trabalhou em alguma atividade ocasional remunerada durante pelo menos 1 hora"
89,e004,e004-trab,"Na semana de ___ a ___ (semana de referência), ___ ajudou durante pelo menos 1 hora, sem receber pagamento, no trabalho remunerado de algum morador do domicílio ou de parente"
90,e005,e005-trab,"Na semana de ___ a ___ (semana de referência), ___ tinha algum trabalho remunerado do qual estava temporariamente afastado"
91,e006011,e006011-trab,"Na semana de ___ a ___ (semana de referência), por que motivo ___ estava afastado desse trabalho"
92,e008,e008-trab,A doença ou acidente foi relacionado ao trabalho?
93,e010010,e010010-trab,"Em ___ /___ /___ (último dia da semana de referência), fazia quanto tempo que ___ estava afastado desse trabalho"
94,e010011,e010011-trab,Tempo que estava afastado (De 1 mês a menos de 1 ano)
95,e010012,e010012-trab,Tempo que estava afastado (De 1 ano a menos de 2 anos) 
96,e010013,e010013-trab,Tempo que estava afastado (De 2 anos a 98 anos)
97,e011,e011-trab,Quantos trabalhos ___tinha na semana de ___ a ___ 
98,e01201,e01201-trab,Qual era a ocupação (cargo ou função) que ___ tinha nesse trabalho
99,e01401,e01401-trab,"Nesse trabalho, ___ era"
100,e014011,e014011-trab,Trabalhador não remunerado em ajuda a membro do domicílio ou parente 
101,e01402,e01402-trab,"Nesse trabalho, ___era servidor público estatutário (federal, estadual ou municipal)"
102,e01403,e01403-trab,"Nesse trabalho, ___tinha carteira de trabalho assinada"
103,e01501,e01501-trab,Qual era a principal atividade desse negócio/empresa
104,e01601,e01601-trab,...recebia/fazia normalmente nesse trabalho rendimento/retirada em dinheiro?
105,e01602,e01602-trab,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse trabalho?(valor em dinheiro)
106,e01603,e01603-trab,...recebia/fazia normalmente nesse trabalho rendimento/retirada em produtos ou mercadorias?
107,e01604,e01604-trab,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse trabalho?(valor estimado em produtos ou mercadorias)
108,e01605,e01605-trab,...recebia/fazia normalmente nesse trabalho rendimento/retirada somente em benefícios ?
109,e017,e017-trab,"Quantas horas ___ trabalhava normalmente, por semana, nesse trabalho?"
110,e01801,e01801-trab,...recebia/fazia normalmente nesse(s) outro(s) trabalho(s) rendimento/retirada em dinheiro?
111,e01802,e01802-trab,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse(s) outro(s) trabalho(s)?(valor em dinheiro)
112,e01803,e01803-trab,...recebia/fazia normalmente nesse(s) outro(s) trabalho(s) rendimento/retirada em produtos ou mercadorias?
113,e01804,e01804-trab,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse(s) outro(s) trabalho(s)?(valor estimado em produtos ou mercadorias)
114,e01805,e01805-trab,...recebia/fazia normalmente nesse(s) outro(s) trabalho(s) rendimento/retirada somente em benefícios ?
115,e019,e019-trab,"Quantas horas ___ trabalhava normalmente, por semana, nesses outros trabalhos? "
116,e022,e022-trab,"No período de ___ a ___ (período de referência de 30 dias), ___ tomou alguma providência para conseguir trabalho, seja um emprego ou um negócio próprio? "
117,e023011,e023011-trab,"No período de ___ a ___ (período de referência de 30 dias), qual foi a principal providência que ___ tomou para conseguir trabalho? "
118,e024011,e024011-trab,Qual foi o principal motivo de ___ não ter tomado providência para conseguir trabalho no período de ___ a ___ (período de referência de 30 dias)?
119,e02402,e02402-trab,Quanto tempo depois de __/__/__ (último dia da semana de referência) ___ irá começar esse trabalho que conseguiu?
120,e024021,e024021-trab,Número de meses para começar o trabalho que conseguiu.
121,e025,e025-trab,"Até o dia ___ (último dia da semana de referência), fazia quanto tempo que___ estava sem qualquer trabalho e tentando conseguir trabalho?"
122,e02501,e02501-trab,fazia quanto tempo que vinha procurando trabalho (de 1 mês a menos de 1 ano)
123,e02502,e02502-trab,fazia quanto tempo que vinha procurando trabalho (de 1 ano a menos de 2 anos)
124,e02503,e02503-trab,fazia quanto tempo vinha procurando trabalho (2 anos ou mais)
125,e026,e026-trab,Se tivesse conseguido um trabalho ___ poderia ter começado a trabalhar na semana de___ a ___ (semana de referência)
126,e02601,e02601-trab,"No período de ___ a ___ (período de referência de 358 dias), ___ trabalhou, por pelo menos 1 hora?"
127,e027,e027-trab,Informante do Módulo E
128,e02801,e02801-trab,"Na semana de ___a___ (semana de referência), ___ realizou tarefas de cuidados de moradores deste domicílio que eram crianças, idosos, enfermos ou pessoas com necessidades especiais, tais como: Auxiliar nos cuidados pessoais (alimentar, vestir, pentear, dar remédio, dar banho, colocar para dormir)"
129,e02802,e02802-trab,"Na semana de ___a___ (semana de referência), ___ realizou tarefas de cuidados de moradores deste domicílio que eram crianças, idosos, enfermos ou pessoas com necessidades especiais, tais como: Auxiliar em atividades educacionais"
130,e02803,e02803-trab,"Na semana de ___a___ (semana de referência), ___ realizou tarefas de cuidados de moradores deste domicílio que eram crianças, idosos, enfermos ou pessoas com necessidades especiais, tais como: Ler, jogar ou brincar"
131,e02804,e02804-trab,"Na semana de ___a___ (semana de referência), ___ realizou tarefas de cuidados de moradores deste domicílio que eram crianças, idosos, enfermos ou pessoas com necessidades especiais, tais como: Monitorar ou fazer companhia dentro do domicílio"
132,e02805,e02805-trab,"Na semana de ___a___ (semana de referência), ___ realizou tarefas de cuidados de moradores deste domicílio que eram crianças, idosos, enfermos ou pessoas com necessidades especiais, tais como: Transportar ou acompanhar para escola, médico, exames, parque, praça, atividades sociais, culturais, esportivas ou religiosas"
133,e02806,e02806-trab,Outras tarefas de cuidados de moradores do domicílio
134,e030,e030-trab,"Na semana de ___ a ___ (semana de referência), ___ cuidou de parentes que não moravam neste domicílio e que precisavam de cuidados (crianças, idosos, enfermos ou pessoas com necessidades especiais)? "
135,e03101,e03101-trab,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: preparar ou servir alimentos, arrumar a mesa ou lavar as louças?"
136,e03102,e03102-trab,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: cuidar da limpeza ou manutenção de roupas e sapatos/"
137,e03103,e03103-trab,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: fazer pequenos reparos ou manutenção do domicílio, do automóvel, de eletrodomésticos ou outros equipamentos? "
138,e03104,e03104-trab,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: Limpar ou arrumar o domicílio, a garagem, o quintal ou o jardim? "
139,e03105,e03105-trab,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: Cuidar da organização do domicílio (pagar contas, contratar serviços, orientar empregados etc.)? "
140,e03106,e03106-trab,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: Fazer compras ou pesquisar preços de bens para o domicílio? "
141,e03107,e03107-trab,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: Cuidar dos animais domésticos? "
142,e03108,e03108-trab,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: Outras tarefas domésticas?"
143,e032,e032-trab,". Na semana de___a___ (semana de referência), ___fez alguma tarefa doméstica em domicílio de parente? "
144,e033,e033-trab,". Na semana de___a___ (semana de referência), ___ qual foi o total de horas que dedicou às atividades de cuidados de pessoas e/ou afazeres domésticos? "
145,f001011,f001011-trab,"Em (mês da pesquisa) ___ recebia normalmente rendimento de aposentadoria ou pensão de instituto de previdência federal (INSS), estadual, municipal, ou do governo federal, estadual, municipal?"
146,f001021,f001021-trab,Valor habitualmente recebido
147,f007011,f007011-trab,"Em (mês da pesquisa), ___ recebia normalmente rendimento de pensão alimentícia, doação ou mesada em dinheiro de pessoa que não morava no domicílio?"
148,f007021,f007021-trab,Valor habitualmente recebido
149,f008011,f008011-trab,"Em (mês da pesquisa), ___ recebia normalmente rendimento de aluguel ou arrendamento?"
150,f008021,f008021-trab,Valor habitualmente recebido
151,f016,f016-info,Informante do Módulo F
152,g032,g032-info,Informante do Módulo G
153,g033,g033-assist,. ___ usa óculos ou outro aparelho de auxílio para lidar com problemas de visão? 
154,g034,g034-assist,____________ faz uso de óculos? 
155,g035,g035-assist,Os óculos foram obtidos no SUS? 
156,g036,g036-assist,____________ faz uso de lentes de contato? 
157,g038,g038-assist,____________ faz uso de lupas ou lentes especiais? 
158,g039,g039-assist,As lupas ou lentes especiais foram obtidos no SUS? 
159,g040,g040-assist,____________ faz uso de bengala articulada? 
160,g041,g041-assist,A bengala articulada foi obtida no SUS? 
161,g042,g042-assist,____________ faz uso de cão guia? 
162,g044,g044-assist,___ tem dificuldade permanente de ouvir mesmo usando aparelhos auditivos? (Para moradores com 5 anos ou mais de idade.) 
163,g046,g046-assist,". ___ tem dificuldade permanente de enxergar mesmo usando óculos, lentes de contato ou lupas? "
164,g047,g047-assist,"___ precisa de ajuda para realizar alguma(s) destas atividades (fazer compras, administrar as finanças, tomar os remédios, ir ao médico, sair utilizando um transporte como ônibus, metrô, táxi, carro, etc. )"
165,g048,g048-assist,___ usa aparelho auditivo ou outro aparelho de auxílio para ouvir melhor? 
166,g049,g049-assist,____________ faz uso de aparelho auditivo 
167,g050,g050-assist,O aparelho auditivo foi obtido no SUS? 
168,g051,g051-assist,____________ faz uso de implante coclear? 
169,g052,g052-assist,O implante coclear foi obtido no SUS? 
170,g053,g053-assist,____________ faz uso de sistema de frequência modulada individual (sistema FM)? 
171,g054,g054-assist,O sistema de frequência modulada individual (sistema FM) foi obtido no SUS? 
172,g055,g055-assist,____________ faz uso de algum outro aparelho de auxílio para ouvir melhor? 
173,g057,g057-assist,___ tem dificuldade permanente de enxergar? 
174,g058,g058-assist,___ tem dificuldade permanente de ouvir? (Para moradores com 5 anos ou mais de idade.)
175,g05801,g05801-assist,Sabe usar a Língua Brasileira de Sinais – Libras? (Para moradores com 5 anos ou mais de idade.)
176,g059,g059-assist,___ usa algum aparelho de auxílio para se locomover? 
177,g060,g060-assist,____________ faz uso de cadeira de rodas? 
178,g061,g061-assist,A cadeira de rodas foi obtida no SUS? 
179,g062,g062-assist,"____________ faz uso de bengala, muletas ou andador? "
180,g063,g063-assist,"A bengala, muletas ou andador foram obtidas no SUS? "
181,g064,g064-assist,____________ faz uso de prótese? 
182,g065,g065-assist,A prótese foi obtida no SUS? 
183,g066,g066-assist,____________ faz uso de órtese? 
184,g067,g067-assist,A órtese foi obtida no SUS? 
185,g068,g068-assist,____________ faz uso de algum outro aparelho de auxílio para se locomover? 
186,g070,g070-assist,"___ tem dificuldade permanente de caminhar ou subir degraus, mesmo usando prótese, bengala ou outro aparelho de auxílio? (Para moradores com 5 anos ou mais de idade.)"
187,g071,g071-assist,___ tem dificuldade permanente de caminhar ou subir degraus? (Para moradores com 5 anos ou mais de idade.)
188,g072,g072-assist,___ usa algum aparelho de auxílio para realizar movimentos com os membros superiores? 
189,g073,g073-assist,____________ faz uso de prótese para os membros superiores? 
190,g074,g074-assist,A prótese para os membros superiores foi obtida no SUS? 
191,g075,g075-assist,____________ faz uso de órtese para os membros superiores? 
192,g076,g076-assist,A órtese para os membros superiores foi obtida no SUS? 
193,g077,g077-assist,____________ faz uso de algum outro aparelho de auxílio para realizar movimentos com os membros superiores? 
194,g079,g079-assist,___já concluiu algum outro curso superior de graduação
195,g080,g080-assist,"___ tem dificuldade permanente para pegar objetos pequenos, como botões e lápis, ou abrir e fechar recipientes ou garrafas, mesmo usando prótese ou aparelho de auxílio? (Somente para moradores com 5 anos ou mais de idade.)"
196,g081,g081-assist,___ tem dificuldade permanente para levantar uma garrafa com dois litros de água da cintura até a altura dos olhos? (Somente para moradores com 5 anos ou mais de idade.) 
197,g082,g082-assist,"___ tem dificuldade permanente para pegar objetos pequenos, como botões e lápis, ou abrir e fechar recipientes ou garrafas? (Somente para moradores com 5 anos ou mais de idade.)"
198,g083,g083-assist,"Por causa de alguma limitação nas funções mentais ou intelectuais, _________ tem dificuldade permanente para realizar atividades habituais, como se comunicar, realizar cuidados pessoais, trabalhar, ir à escola, brincar, etc.? (Para moradores com 5 anos ou mais de idade.)"
199,g084,g084-assist,"Nos últimos doze meses ___ recebe ou recebeu, algum cuidado em reabilitação de forma regular? (Por reabilitação quero dizer fisioterapia, terapia ocupacional, fonoaudiologia psicoterapia etc.)"
200,g085,g085-assist,Onde você recebe (recebeu) esse cuidado em reabilitação? 
201,g086,g086-assist,Como você conseguiu ter acesso a esse cuidado em reabilitação? 
202,h001,h001-assist,Quando foi a última vez que o(a) sr(a) consultou com um(a) médico(a)?
203,h002,h002-assist,Essa consulta foi o seu primeiro atendimento com esse(a) médico(a)?
204,h003,h003-assist,Por qual motivo o(a) sr(a) precisou consultar com um(a) médico(a)
205,h004,h004-assist,Onde procurou o atendimento médico por este motivo?
206,h005,h005-assist,"Você geralmente procura “esse(a) médico(a)"" quando adoece ou precisa de conselhos sobre a sua saúde?"
207,h006,h006-assist,"“Esse(a)"" é o(a) médico(a) que melhor conhece você como pessoa?"
208,h007,h007-assist,"“Esse(a)"" é o(a) médico(a) mais responsável por seu atendimento de saúde?"
209,h008,h008-assist,"Quando você tem um novo problema de saúde, você vai à “esse(a) médico(a)"" antes de ir a outro serviço de saúde?"
210,h009,h009-assist,"Quando o(a) “serviço de saúde” está aberto(a), você consegue aconselhamento rápido pelo telefone se precisar?"
211,h010,h010-assist,"É difícil para você conseguir atendimento médico no(a) ""serviço de saúde” quando pensa que é necessário?"
212,h011,h011-assist,"Quando você vai ao(à) ""serviço de saúde"", é o(a) mesmo(a) médico(a) que atende você todas as vezes? "
213,h012,h012-assist,Você se sente à vontade contando as suas preocupações ou problemas à “esse(a) médico(a)”?
214,h013,h013-assist,“Esse(a) médico(a)” sabe quais problemas são mais importantes para você?
215,h014,h014-assist,"Se fosse muito fácil, você mudaria do(a) “serviço de saúde” para outro serviço de saúde?"
216,h015,h015-assist,"Você foi consultar qualquer tipo de especialista ou serviço especializado no período em que você está em acompanhamento com “esse(a) médico(a)""?"
217,h016,h016-assist,"“Esse(a) médico(a)"" sugeriu (indicou, encaminhou) que você fosse consultar com esse(a) especialista ou serviço especializado? "
218,h017,h017-assist,“Esse(a) médico(a)” escreveu alguma informação para o(a) especialista sobre o motivo dessa consulta?
219,h018,h018-assist,“Esse(a) médico(a)” sabe quais foram os resultados dessa consulta?
220,h019,h019-assist,“Esse(a) médico(a)” pareceu interessado(a) na qualidade do cuidado que você recebeu no(a) especialista ou serviço especializado (perguntou se você foi bem ou mal atendido(a))? 
221,h020,h020-assist,"Se quisesse, você poderia ler (consultar) o seu prontuário médico no(a) ""serviço de saúde""?"
222,h021,h021-assist,"Aconselhamento para problemas de saúde mental (ex.: ansiedade, depressão)"
223,h022,h022-assist,Aconselhamento sobre como parar de fumar
224,h023,h023-assist,"Aconselhamento sobre as mudanças que acontecem com o envelhecimento (ex.: diminuição da memória, risco de cair)"
225,h024,h024-assist,"Orientações sobre alimentação saudável, boa higiene e sono adequado (dormir suficientemente)"
226,h025,h025-assist,Orientações sobre exercícios físicos apropriados para você
227,h026,h026-assist,Verificar e discutir os medicamentos que você está usando
228,h027,h027-assist,Como prevenir quedas
229,h028,h028-assist,“Esse(a) médico(a)” pergunta as suas ideias e opiniões (o que você pensa) ao planejar o tratamento e cuidado para você ou para um membro da sua família? 
230,h029,h029-assist,“Esse(a) médico(a)” se reuniria com membros de sua família se você achasse necessário?
231,h030,h030-assist,No seu seviço de saúde são realizadas pesquisas com os pacientes para ver se os serviços estão satisfazendo (atendendo) as necessidades das pessoas
232,i00101,i00101-assist,"tem algum plano odontológico particular, de empresa ou órgão público?"
233,i00102,i00102-assist,"tem algum plano de saúde médico particular, de empresa ou órgão público?"
234,i001021,i001021-assist,Quantos?
235,i00103,i00103-assist,Quem é o titular do plano de saúde médico (único ou principal)?
236,i001031,i001031-assist,Nº de ordem do titular 
237,i004,i004-assist,"O plano de saúde médico (único ou principal) que _____ possui é de instituição de assistência de servidor público (municipal, estadual ou militar)? "
238,i00401,i00401-assist,O plano de saúde (único ou principal) de assistência médica que ___ possui dá direito a consultas
239,i00402,i00402-assist,O plano de saúde (único ou principal) de assistência médica que ___ possui dá direito a exames
240,i00403,i00403-assist,O plano de saúde (único ou principal) de assistência médica que ___ possui dá direito a internações
241,i00404,i00404-assist,O plano de saúde (único ou principal) de assistência médica que ___ possui dá direito a partos
242,i005,i005-assist,Há quanto tempo sem interrupção _____ possui esse plano de saúde (único ou principal)? 
243,i006,i006-assist,___ recebe ajuda para realizar alguma(s) destas atividades
244,i010010,i010010-assist,Quem paga a mensalidade deste plano de saúde?
245,i012,i012-info,Informante do Módulo I
246,j001,j001-saude,"De um modo geral, como é o estado de saúde de________"
247,j00101,j00101-saude,"Considerando saúde como um estado de bem-estar físico e mental, e não somente a ausência de doenças, como é o estado de saúde de _____________? "
248,j002,j002-saude,"Nas duas últimas semanas, ___ deixou de realizar quaisquer de suas atividades habituais (trabalhar, ir à escola, brincar, afazeres domésticos etc.) por motivo da própria saúde"
249,j003,j003-saude,"Nas duas últimas semanas, quantos dias _____ deixou de realizar suas atividades habituais, por motivo da própria saúde"
250,j00402,j00402-saude,Qual foi o principal motivo de saúde que impediu ___ de realizar suas atividades habituais nas duas últimas semanas 
251,j00404,j00404-saude,Este motivo de saúde estava relacionado ao trabalho
252,j005,j005-saude,Nas duas últimas semanas___ esteve acamado (a)
253,j006,j006-saude,"Nas duas últimas semanas, quantos dias _____ esteve acamado (a)"
254,j007,j007-saude,"Algum médico já deu o diagnóstico de alguma doença crônica, física ou mental, ou doença de longa duração (de mais de 6 meses de duração) a ___"
255,j00801,j00801-saude,"Alguma dessas doenças limita de alguma forma suas atividades habituais (trabalhar, ir à escola, brincar, afazeres domésticos, etc.)"
256,j009,j009-saude,___ considera este plano de saúde: 
257,j01002,j01002-saude,Quando está doente ou precisando de atendimento de saúde___ costuma procurar
258,j01101,j01101-saude,Quando ____ consultou um médico pela última vez
259,j012,j012-saude,Quantas vezes ___ consultou um médico nos últimos 12 meses
260,j01301,j01301-saude,Quando ___ consultou um dentista pela última vez
261,j014,j014-saude,"Nas duas últimas semanas, ___ procurou algum lugar, serviço ou profissional de saúde para atendimento relacionado à própria saúde"
262,j01502,j01502-saude,Qual foi o motivo principal pelo qual ___ procurou atendimento relacionado à própria saúde nas duas últimas semanas
263,j01602,j01602-saude,Onde ___ procurou o primeiro atendimento de saúde por este motivo nas duas últimas semanas
264,j01701,j01701-saude,"Nessa primeira vez que procurou atendimento de saúde por este motivo, nas duas últimas semanas"
265,j01802,j01802-saude,Por que motivo ___ não foi atendido(a) na primeira vez que procurou atendimento de saúde nas duas últimas semanas
266,j019,j019-saude,"Nas duas últimas semanas, quantas vezes ___ voltou a procurar atendimento de saúde por este mesmo motivo"
267,j02002,j02002-saude,Onde ___ procurou o último atendimento de saúde por este motivo nas duas últimas semanas
268,j021,j021-saude,"Nessa última vez que procurou atendimento de saúde por este motivo, nas duas últimas semanas, ___ foi atendido (a)"
269,j022010,j022010-saude,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas
270,j023,j023-saude,Este serviço de saúde onde___ foi atendido era:
271,j024,j024-saude,Este atendimento de saúde de ___ foi coberto por algum plano de saúde
272,j025,j025-saude,"___ pagou algum valor por esta última internação? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2) "
273,j026,j026-saude,O atendimento de ___ foi feito pelo SUS
274,j02702,j02702-saude,Qual foi o principal atendimento de saúde que ___ recebeu?
275,j02901,j02901-saude,"Neste atendimento de ___, foi receitado algum medicamento"
276,j03001,j03001-saude,"___tem dificuldade permanente para levantar uma garrafa com dois litros de água da cintura até a altura dos olhos, mesmo usando prótese ou aparelho de auxílio? (Somente para moradores com 5 anos ou mais de idade.) "
277,j03102,j03102-saude,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados
278,j032,j032-saude,Algum dos medicamentos foi coberto por plano de saúde
279,j03301,j03301-saude,Algum dos medicamentos foi obtido no programa Aqui Tem Farmácia Popular
280,j034,j034-saude,Algum dos medicamentos foi obtido em serviço público de saúde
281,j035,j035-saude,"___ costuma procurar o mesmo lugar, mesmo médico ou mesmo serviço de saúde quando precisa de atendimento de saúde"
282,j03602,j03602-saude,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde"
283,j037,j037-saude,"Nos últimos 12 meses, ___ ficou internado(a) em hospital por 24 horas ou mais"
284,j038,j038-saude,"Nos últimos 12 meses, quantas vezes ___ esteve internado(a)"
285,j039,j039-saude,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses
286,j04001,j04001-saude,Quanto tempo em meses o morador ficou internado
287,j04002,j04002-saude,Quanto tempo em dias o morador ficou internado
288,j041,j041-saude,O estabelecimento de saúde em que ___ esteve internado(a) pela última vez nos últimos 12 meses era
289,j042,j042-saude,A última internação de ___ nos últimos 12 meses foi coberta por algum plano de saúde
290,j043,j043-saude,___ pagou algum valor pelos medicamentos
291,j044,j044-saude,Esta última internação de ___ foi feita através do Sistema Único de Saúde (SUS)
292,j046,j046-saude,"Nos últimos 12 meses, ___ teve atendimento de urgência ou emergência no domicílio"
